Ngày,T?ng,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,Ngày
/,(l?n),/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
Tháng,,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Tháng
0,32,,,,,,,,1,1,,,2,1,1,2,,1,1,,,1,2,,3,,,1,2,,,2,,,1,,2,,,,1,2,1,1,,,,,,,,,1,,1,,,,,,1,0
1,31,1,,1,,,2,,1,1,,,1,1,1,1,,,,,,2,3,,3,,,,,1,,,,1,,1,,,,,,,1,1,1,,1,,,1,,,,,,1,2,1,,1,,1
2,18,,,,,1,,1,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,2,,2,1,,,1,,1,1,,,,2,,,,1,,,,,,1,,,,,2
3,17,1,,,,,,,,,1,,,,,2,,,,1,,,,,,,,1,1,,,,,1,,,,,2,,1,,,,,1,,1,,1,,,,,,1,,,1,1,,3
4,20,,,,,,,1,,,,1,,,2,,,1,1,,,,,,1,1,,,1,,,,,,2,,1,,1,,,,,1,,1,,,,1,,,1,,,,,1,,2,,4
5,24,,,,,,,,1,1,,,1,,,,1,,,1,1,1,1,,1,,,,1,,,,1,,1,1,1,,,,2,,2,1,,,1,,1,,1,,,,,,1,,,1,,5
6,28,,1,2,,,2,1,,2,,,1,,,,,2,1,,,1,,,,1,,,,,1,1,,,1,,,,1,,,,1,1,,,1,,1,,1,,,,1,,,1,1,1,1,6
7,21,1,1,,,,,,,,,,,1,,1,1,1,1,1,2,,,,,,,,1,,,2,,,,,,1,1,,,,,,,,,,,1,1,2,,,,,,,,1,1,7
8,31,,,,,,,,,,,,1,,3,2,,,,1,,1,,,,2,,,,2,1,2,,,1,1,,1,2,,2,,1,,,,1,,,,2,,,1,,1,1,,,1,1,8
9,22,1,,,,,,,2,,,,,,2,,,1,,1,,,,1,1,,,2,,,1,,,,1,,,1,,,1,,1,2,,,,,,,,,,,,,,2,1,,1,9
10,26,,1,,,,1,,,,2,1,,,,,1,,1,,2,2,1,,,,,,,,1,,,1,,1,,,1,,2,1,,1,1,2,,,,,,,1,,,,1,,,,1,10
11,26,,,2,,,,,,2,1,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,1,1,,1,,1,,1,,,1,1,,,1,1,,,,,,,,,2,1,,1,11
12,21,,2,1,,1,,2,1,,1,,,,,,,,,,,2,,,1,1,1,,,1,,1,,,,,,,,,,,,,1,1,,,,1,1,,,,1,,,,1,,,12
13,23,,2,,,,,,,,1,,,,,1,,1,,,3,1,,1,,,1,,,1,,,1,,,1,,1,,,,,,3,,1,,,,2,,,1,,1,,,,,,,13
14,23,,,,,,,,1,2,2,,,,1,,,1,,,,,,,,1,,,1,,,2,1,,,,,1,1,1,,,,1,,1,,,1,1,,,1,,,,1,,1,,1,14
15,25,3,,1,,,,,,,,1,,1,1,1,1,1,,,1,,1,,1,,,,2,,,,1,,,1,,,,,,,1,,,,1,1,1,,1,,1,,,,1,,,1,,15
16,26,,,,1,1,,2,,,1,,,,1,,,,,1,,,,,2,1,1,1,1,,,1,,1,,2,1,1,1,,,,,,,,,1,,2,,,,,,,,1,,1,1,16
17,33,2,1,,,2,,,,,,,,,,,,,,,1,1,1,,,,2,1,,1,,1,2,,,,2,2,2,,,,1,3,,1,,,1,1,1,1,,,,1,1,1,,,,17
18,19,1,1,,,,1,,1,,2,,,,,3,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,2,1,,,1,,18
19,24,,,1,,,,1,,2,1,,,,1,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,2,,1,,1,1,1,,,1,1,,2,,,,,,1,1,,1,19
20,22,,2,,,,,2,1,,,1,1,,1,1,,,,,,,,,,1,,2,,,,,,1,,1,,,,1,,1,,,,,,,,,,1,1,,,1,1,1,1,,,20
21,24,,1,,,,,1,1,,,1,,2,,,1,1,1,,1,1,,,,,1,,,,,,,,1,,1,,,,,,,1,,,1,1,,1,,,1,,1,1,,1,2,,,21
22,18,,,,,,,1,,,1,1,,,,1,1,,,1,1,1,1,,,1,,,,,,,,2,,,,1,,,,,,1,,,1,,,,,,1,,,,,1,,1,,22
23,26,,1,,1,,,1,,1,,1,,,1,1,,,,,,,,,1,,,,2,,,,,,1,1,1,,,,,1,1,,,,1,,,2,1,1,,2,,,1,,,2,1,23
24,32,1,,1,,,,,1,1,,1,,,3,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,1,1,2,2,,,,1,2,,,,2,,1,2,1,1,1,,1,,24
25,36,1,,2,3,,,,,,,1,,,1,3,1,1,1,,,1,1,1,,1,,1,1,,,1,,,,1,1,1,1,,,,1,1,,2,,,,1,,,1,1,1,,1,1,,1,,25
26,25,1,1,,1,1,1,,,,,1,,,2,,,,1,,,,,1,1,,,,,2,,,1,1,,,,,1,,,,,1,,,,,1,1,,,1,2,,,,,,1,2,26
27,31,2,1,,1,,1,2,2,,2,,,,,,,,1,,,2,1,1,2,,,,,,,,,,5,,,1,,,,1,,,1,,,,,,,,,3,,,1,,,1,,27
28,31,1,,1,,1,,1,,,,1,1,,,,2,1,,,1,,2,1,,,,1,1,,,1,,,1,,2,1,1,,,,2,,,2,,1,,1,,,,1,2,,,,,,1,28
29,23,,,1,,1,1,,,,2,,1,1,,,,,,,,1,,,,,,,1,1,2,,1,,,2,,2,,1,,,,,,1,,1,,,,,,,1,,,,,1,1,29
30,28,,,,,,,1,,,1,,,,1,,,2,,1,,,,,,1,1,,1,1,,1,,1,,1,1,,1,,,,2,1,,,,2,1,1,1,,,,1,1,,2,,1,,30
31,20,,,2,1,1,,,1,,1,1,,1,,,,,1,,1,,,,,2,1,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,1,,31
32,25,,,,,,1,,,1,,,1,1,,2,,,,,,,,,,,2,1,,3,,,,1,,,,1,,,,,,1,,1,1,,1,1,,1,1,2,,,,1,1,,,32
33,26,2,1,1,,,,,1,,,1,,,2,,,,1,1,,,1,1,1,,,,,1,1,1,,,,,3,,,,1,,,,,,1,,1,,,,,2,,1,,1,,,,33
34,41,1,,,1,1,,3,,,1,2,1,1,1,,,,1,,,,2,1,,1,1,1,1,,1,1,2,,,1,,1,2,1,1,,,,1,,,,,1,1,1,,1,,,1,1,1,,3,34
35,29,1,,,1,1,,,1,,,,,1,,,1,,,,,2,2,,1,,,2,,2,1,2,1,1,1,,,,,,,,,,1,,,1,,,1,,,1,,1,,2,,,1,35
36,33,,2,,,1,,1,1,,1,,,,,2,,2,,1,3,,1,,3,,1,,,1,,,,,,,2,,1,,,,1,,1,,,,1,,1,,2,1,,,,1,1,,1,36
37,19,,,,,,1,,,1,1,1,,1,,1,,1,,,,,1,,1,1,1,,,,,1,,,,,1,,1,,,1,,,,,,,1,,1,1,1,,,,,,,,,37
38,24,,,,1,,3,,1,1,,,,,,,,1,,,,1,,2,1,,,,,,,,,,1,,,,,,1,,1,1,,1,,1,1,,,1,1,1,,1,1,,,,1,38
39,26,1,1,,,1,,2,1,1,,,,1,,,,,,1,,,,,,,,,2,,,1,1,,1,,3,,,,,,,1,,,,,,1,1,,1,1,2,,,1,,1,,39
40,23,,2,,,1,1,1,,,,,,,,1,,,,,,,,1,2,,,,,,,,,1,,2,,,,1,,,1,2,,1,,1,,1,1,,1,,,,,1,,,1,40
41,26,,,,1,1,,1,,1,,,,2,,1,1,1,1,,,2,,,1,1,1,,1,,,1,,,1,,,,,,,,,1,1,,,1,,1,1,,2,,,,,,1,,,41
42,25,2,,1,,1,1,2,,,1,,,,,1,,1,,,,,,,,,,2,1,,,,2,,,1,,,1,,1,,,,,2,1,,,,,,1,,1,,1,,,1,,42
43,28,,,,1,,1,1,1,,1,,1,1,,,,,,1,2,1,1,1,1,,,,1,2,,,,,,,,,,,1,1,,,,,,3,,1,,1,1,,,1,1,,1,,,43
44,26,,,,,,,,1,,,,,,,1,1,1,1,,1,1,,,1,2,1,,1,1,,,,,,1,1,1,1,,,1,,1,1,1,,,,,,1,,,,,,,2,2,,44
45,20,,,1,,,,,,,,,,,,2,,,,,,2,,1,,,1,,1,1,,,1,,,,1,,,,1,,1,,1,1,1,,,1,,1,,,,1,,1,,,,45
46,20,1,,1,,1,,1,,,2,,,,,1,2,,,,,,,,1,,1,1,1,,,,,1,1,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,46
47,33,,,,2,1,1,1,1,,1,2,1,,,,,1,1,1,,1,,1,,1,1,,1,,2,1,,,,,,1,,,,,,1,1,,1,,,2,1,1,,,1,1,,,,2,,47
48,28,,,1,,1,,,,,1,,1,,,,,1,1,,,,1,1,1,,,,1,2,,2,1,2,,1,,1,,,,1,1,,,,1,1,1,,,,,1,1,,,1,,1,,48
49,27,,,1,,,,,,,,1,,,2,,2,,,,,1,,1,1,,,,,2,,2,,,,1,2,,,1,,,1,1,1,,,1,,,1,1,,1,,,1,2,,,,49
50,20,,,1,,,,1,,,1,,2,,,1,,,,1,,,1,1,,,,1,1,,,,,,1,1,1,,2,,1,,,,,,,,,,,,,2,,,,,,1,,50
51,29,1,,,,,,1,,,1,,,1,,1,,,2,1,2,1,1,,1,1,,,,,,,1,,1,1,1,,1,1,1,1,,1,,,,,,1,2,,1,,1,,,,,1,,51
52,27,,,2,,,,1,,,1,,,,,,,2,,1,,,1,,1,,,1,,,,1,1,,,1,,1,,,,,2,,,,1,,,1,2,1,3,,,,1,,1,1,,52
53,23,,,,,,,,,,1,,1,1,,1,,,1,1,1,,,,2,,1,,,,1,,,,1,,,,,1,,,1,1,,1,,,,1,1,,1,,,1,,1,1,1,,53
54,40,1,1,1,,,1,,,1,,,1,,1,1,1,1,,1,,2,,1,1,2,,,,,1,,1,,,,2,,2,1,,1,,1,,1,2,1,2,1,2,1,,,1,,1,1,1,,,54
55,24,,,,,1,1,,1,,,,,,1,,1,1,,,,3,,1,1,,2,1,1,,,,,,,,2,1,,,,,,2,,,,,,1,,,1,,,,,1,,,1,55
56,30,1,1,,,,1,,,,,,,,,,,3,,2,1,2,,1,,,,,,1,1,,,1,,1,3,,2,,2,,1,,,,1,,,,1,,1,,,,2,,,,1,56
57,30,1,,1,,,,,,,,2,,3,1,,,1,,,,1,1,1,,1,1,,,,,1,,,,,1,,2,,3,,1,1,,2,,1,,1,,,1,,1,,,1,,,,57
58,26,,1,,1,,,,2,,1,,,,,,,,,,,1,2,,,,,,,1,,2,,1,,1,,,3,,,,,1,,2,,,,1,2,,1,,2,,,1,,,,58
59,27,,,,,1,1,,2,,2,,1,1,,,1,,1,,,,,1,,1,,,,2,,4,,1,,1,,1,,,,2,,,,,,1,,,1,,,,,1,,,,1,,59
60,35,3,,1,,,,,,2,1,,1,1,,1,,1,,,,1,,,,1,,1,,,1,,,1,,,1,1,1,,,1,,1,,,,,,2,2,1,1,,,,2,2,1,1,2,60
61,28,,1,1,1,,,,2,,,,,,1,,,1,1,,,,1,,,,1,,,1,1,1,,,,,,1,1,1,1,2,2,,,,,,,1,,,1,,,,1,2,1,,1,61
62,24,,,1,,,,,2,,,1,,,,1,,,1,,,,2,,,,,,1,2,,1,,,,1,,,,1,,1,,,2,1,,1,1,,1,2,,,,,,,,1,,62
63,20,,,,1,,,,,,1,,,,1,,,,,1,,1,,,,,,,1,1,,,1,2,,1,,,,1,,,,,1,,,,,,,,1,2,,1,1,1,1,,,63
64,28,,,,,2,1,,,1,,,,,,,,,,1,,,1,1,,1,,1,1,1,1,,1,,1,,2,,,1,1,,1,,,3,,,1,2,,1,,,,2,,,,,,64
65,21,,,1,1,,1,1,,,,,,,1,,,,,,,2,,1,,,,,2,1,,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,1,,,3,,65
66,28,,,,,,,1,,2,,,,2,,,1,,,1,,,1,,,,2,1,1,1,1,,1,,,,1,,4,1,,1,1,,,,1,,1,,,,,,1,,,,1,,1,66
67,22,1,,,,,,1,,,1,,,,,1,,1,2,,,,,,1,1,,,,1,,,,,,,1,,,,,1,1,,,2,1,1,,,1,,,,1,,2,1,,,,67
68,38,,2,3,,2,1,1,1,,,1,,1,1,2,1,3,,,,,2,,1,,,,1,2,1,1,,,1,1,,,,,2,1,1,,1,1,1,,,,,,,,,1,1,,,,,68
69,31,1,,1,,1,,,1,,2,1,1,,1,,2,,,,,2,,1,1,,,,,1,2,,1,,,1,,,1,1,,,,,1,1,,,,1,1,,,2,,,1,,1,,1,69
70,29,3,1,1,,,,,1,,,,2,1,,,,1,,1,,,,,,,,,1,,,2,2,1,1,,,1,,,,,1,,2,1,,,,,,1,2,1,,,1,,1,,,70
71,22,,,1,,,,1,,,1,,,,1,1,,,,1,,,,1,1,1,,,2,,,,,,1,,,1,1,,,,1,,1,,,,1,1,,,2,,,,1,,,1,,71
72,24,1,,3,,1,1,,1,,,,,,,,,,1,,,,,,,,,,1,3,1,,,,,,,,,1,,,1,,1,1,1,,,,2,,,,1,1,2,,,,,72
73,35,1,,1,2,1,,1,,1,1,2,1,,3,,2,,1,,,,,,,1,,1,1,,,2,1,2,,1,,,,1,,,,1,,1,,1,,1,,,1,1,,1,,,,1,,73
74,23,2,,,,,2,2,1,,,,,,1,,,,,1,,2,,,,,,1,,2,,,1,,,,1,,,1,,,1,1,,,,,,1,,,,,1,1,1,,,,,74
75,29,,,,1,1,,,2,,,,1,2,2,1,,,1,,3,,2,,,,,,,,,2,,,,2,1,,,2,,,,1,,,,,,,,1,,,2,,1,,1,,,75
76,31,,,,1,,,1,1,,,1,,,1,,1,1,2,1,,,,,1,,,1,,,,,,,,2,,,1,1,2,,2,,1,1,1,,2,,1,,1,,,1,1,1,1,,,76
77,16,,,,,,,1,,1,,1,,1,,1,,1,,,,1,,1,,,,1,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,1,,1,,,,77
78,23,,1,,1,1,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,3,,,,1,,1,1,1,,1,,2,,1,,,,1,,2,1,,,78
79,33,,1,1,1,,1,,1,1,1,,,,1,,,,,1,1,,,,,,,,1,1,1,1,1,2,,,1,,,,,,2,3,,1,,,,,,,,,1,,2,1,1,3,1,79
80,22,,,,2,,1,1,,,,,,,,,1,,1,,,,,,,,,,1,1,1,,,,1,,,,,1,,,,1,,,1,,1,2,,,2,1,,,1,1,1,,,80
81,21,,,1,3,1,,,,1,1,,,,,,,,,1,,,1,1,1,,,,,,,1,,,,1,1,,,,,,,1,,2,,,,,3,,,,,,,,,,1,81
82,33,,,,1,,,,1,1,,,1,2,2,1,1,,1,1,,,,,,,1,1,1,,,,,,,2,,,1,2,,,1,1,1,1,1,,2,1,,1,1,,1,1,,,1,,,82
83,30,2,,,1,1,,,1,,2,,1,,,1,,,,1,1,,1,,,,,,,,2,1,,,,1,2,,1,,,,1,1,1,,,,3,,2,,,1,,,1,,,,1,83
84,18,,,1,,,,,,,,1,1,,1,,,3,,,,,2,,,,,1,,2,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,2,,,84
85,21,,,,,,,,,1,,1,1,,,1,1,1,,,,1,2,1,,,,,,1,1,,,1,,1,1,,,,,,,,2,,2,,1,,,,,,,,,,,,1,85
86,31,,1,3,,1,,2,,,1,2,,1,,1,,2,1,,1,,,,,,1,,1,,,2,1,1,,,,1,,,2,,,,1,,,,,1,,1,,,,,2,,,1,,86
87,38,,,,,,1,1,1,1,,,,,3,1,1,2,,1,1,1,2,,2,1,,1,,1,,,,,1,1,,,,,,2,,,,,1,2,,1,1,3,1,,1,,,1,,2,,87
88,23,,,,1,,2,,,,,,1,1,,,,,,,,,,,,3,,1,1,1,1,,,1,2,1,,,,,,1,,,,1,1,,,,,,1,,1,1,,1,,,,88
89,21,1,,1,,,,1,,,1,,,1,,,,,1,,1,,1,1,2,,2,,,,,,1,,,,,,,1,,,1,,,,,2,,,,,,1,,,1,,1,,,89
90,22,3,,,,1,,2,1,,,,,,,1,1,2,,,,,1,,,,3,,,,1,,,,,2,,,,,,,1,,,1,,,,,,,1,,,,,1,,,,90
91,26,1,1,,,,,,1,,,,2,,1,2,,,,,,,,1,,,2,,,1,,1,1,,1,1,,,1,1,1,2,,,,,1,,1,,,,2,,,,,,,1,,91
92,25,1,,1,1,1,,1,,,,1,1,,,,,1,,,,,1,,1,,,,,,1,,,,,,,,,1,,1,,,,1,1,1,1,,2,1,1,,1,1,,,,2,,92
93,31,1,2,,,,,,1,,,,1,,1,,1,,,1,,,1,1,,1,,1,1,,,1,,1,,,,2,1,1,1,,,1,,,1,,1,,2,2,1,1,1,1,,,,,,93
94,26,,,2,,1,,,1,1,,2,,,1,1,1,,,,,,,,,,,1,1,,,1,,1,,,,,,1,,2,,,,2,,,,1,1,,1,,,,,,1,3,,94
95,28,1,1,2,,,,1,1,,1,,,1,,1,,,,,1,1,,,,,,1,1,,1,,1,1,,,,,,,,,2,1,,1,,,,,1,,1,,,,1,4,,1,,95
96,25,1,1,,1,,,,1,,,1,,,1,,1,,,,,1,1,,,,,,1,,1,,1,,,,,,1,,1,,1,,2,,,2,,1,1,,,,,,2,,,,2,96
97,22,1,,1,,,,,,,1,,,,,,,,,1,,,1,1,1,1,,,,1,1,,1,,,,,,1,,,,,1,,1,,1,1,,1,,1,1,,1,2,,,,,97
98,35,1,,1,,,1,1,2,2,3,,,,,,1,1,,1,1,1,,,2,,2,,,,1,,,1,2,,1,,1,,,1,1,,1,1,1,1,,,,,,,,1,1,,,1,,98
99,29,1,,,1,,1,1,2,,,,1,,,,,1,,1,,,1,2,1,1,,1,,,,,,,,1,1,,1,,,,,,2,,,,1,1,1,,1,,2,1,,1,,,1,99
